Date,Spread,Mcap,Value,P/E,Close,Volatility,30y_yield
28/10/22,1.17,32.365M,3.9334,18.8887,3901.06,27.85,4.1414
21/10/22,1.18,31.21M,3.7839,18.1706,3752.75,29.19,4.3335
14/10/22,1.15,29.805M,3.6128,17.349,3583.07,27.99,3.9916
07/10/22,1.13,30.271M,3.6682,17.623,3639.66,26.09,3.8417
30/09/22,1.15,29.80M,3.6231,17.2963,3585.62,23.94,3.7759
23/09/22,1.12,30.695M,3.7189,18.117,3693.23,22.45,3.6059
16/09/22,1.11,32.145M,3.8947,18.8906,3873.33,23.47,3.5131
09/09/22,1.07,33.753M,4.0896,19.8368,4067.36,19.56,3.4474
02/09/22,1.07,32.577M,3.946,19.1444,3924.26,20.78,3.3435
26/08/22,1.07,33.691M,4.0821,19.7997,4057.66,21.86,3.192
19/08/22,1.07,35.104M,4.2539,20.6336,4228.48,18.44,3.212
12/08/22,1.09,35.528M,4.3062,20.8876,4280.15,18.41,3.1078
05/08/22,1.12,34.397M,4.1705,20.2291,4145.19,18.83,3.0662
29/07/22,1.17,34.325M,4.1572,20.1339,4130.29,20.97,3.0097
22/07/22,1.16,32.984M,3.9873,19.2997,3961.63,26.96,2.9717
15/07/22,1.17,32.171M,3.8882,18.8203,3863.16,26.67,3.0751
08/07/22,1.14,32.475M,3.9247,18.9968,3899.38,28.35,3.2436
01/07/22,1.1,31.858M,3.853,18.6373,3825.33,28.77,3.1031
24/06/22,1.07,32.581M,3.8903,19.5909,3911.74,31.99,3.2571
17/06/22,1.01,30.548M,3.6552,18.3649,3674.84,30.97,3.2795
10/06/22,0.98,32.409M,3.8802,19.4964,3900.86,30.56,3.1935
03/06/22,1,34.127M,4.093,20.5409,4108.54,32.34,3.0862
27/05/22,1.04,34.541M,4.1454,20.8022,4158.24,33.07,2.9635
20/05/22,1.01,32.412M,3.8893,19.5171,3901.36,30.92,2.9859
13/05/22,0.96,33.459M,4.0115,20.1306,4023.89,28.36,3.0786
06/05/22,0.9,34.31M,4.1108,20.6309,4123.34,26.3,3.2254
29/04/22,0.92,34.409M,4.1177,20.7261,4131.93,23.21,2.9972
22/04/22,0.9,35.617M,4.256,21.4302,4271.78,20.36,2.9444
08/04/22,0.88,37.432M,4.4934,22.5707,4488.28,21.69,2.7182
01/04/22,0.87,37.909M,4.5595,22.9163,4545.86,23.29,2.4317
25/03/22,0.89,37.848M,4.5426,23.461,4543.06,23.9,2.5846
18/03/22,0.91,37.196M,4.4594,22.9969,4463.12,24.87,2.4202
11/03/22,0.84,35.051M,4.201,21.6643,4204.31,24.4,2.3537
04/03/22,0.81,36.098M,4.3258,22.3071,4328.87,22.56,2.1554
25/02/22,0.77,36.548M,4.3777,22.6411,4384.65,22.83,2.2738
18/02/22,0.74,36.282M,4.342,22.4565,4348.87,20.88,2.2399
11/02/22,0.68,36.814M,4.4107,22.8246,4418.64,20.1,2.2385
04/02/22,0.64,37.491M,4.4923,23.2473,4500.53,18.49,2.2101
28/01/22,0.64,36.974M,4.4288,22.9226,4431.85,17.35,2.0733
21/01/22,0.65,36.72M,4.3936,22.7536,4397.94,16.73,2.071
14/01/22,0.65,38.947M,4.6583,24.1244,4662.85,16.13,2.1219
07/01/22,0.67,39.072M,4.6724,24.1975,4677.03,17.94,2.1159
31/12/21,0.66,39.843M,4.7652,24.6918,4766.18,18.23,1.9032
17/12/21,0.65,38.593M,4.7349,25.4247,4620.64,16.55,1.8064
10/12/21,0.66,39.349M,4.8266,25.9167,4712.02,15.07,1.8777
03/12/21,0.66,37.908M,4.6487,24.9617,4538.43,13.3,1.6727
26/11/21,0.65,38.392M,4.7063,25.3119,4594.62,9.73,1.8213
19/11/21,0.65,39.27M,4.8131,25.8892,4697.96,7.85,1.91
12/11/21,0.66,39.136M,4.7978,25.8068,4682.85,8.7,1.9308
05/11/21,0.67,39.269M,4.8133,25.8749,4697.53,12.55,1.887
29/10/21,0.65,38.509M,4.7416,25.5552,4605.38,13.12,1.9328
22/10/21,0.67,38.053M,4.6789,25.2278,4544.9,14.56,2.0683
15/10/21,0.69,37.452M,4.6029,24.806,4471.37,14.6,2.0414
08/10/21,0.68,36.756M,4.5213,24.382,4391.34,13.29,2.164
01/10/21,0.67,36.475M,4.498,24.3313,4357.04,12.69,2.0287
24/09/21,0.7,37.305M,4.6762,26.8836,4455.48,10.91,1.9833
17/09/21,0.73,37.064M,4.623,26.6694,4432.99,8.45,1.8989
10/09/21,0.7,37.283M,4.6497,26.8237,4458.58,8.05,1.9337
03/09/21,0.7,37.917M,4.7301,27.2892,4535.43,7.81,1.942
