Date,Spread,Mcap,P/B,P/E,Close,Volatility,30y_yield,AA Yield,Mkt_rf,smb,hml,rf,Yield,3m,Inflation
1990-01-05,0.97,,,15.12,352.2,11.92,8.056,8.89,-0.23,1.25,-0.76,0.141,3.17,,4.6
1990-01-12,0.95,,,14.66,339.93,14.44,8.171,8.92,-3.56,0.51,0.61,0.141,,,
1990-01-19,0.95,,,14.24,339.15,14.67,8.27,8.98,-0.47,-0.28,-0.19,0.141,,,
1990-01-26,0.95,,,13.94,325.8,16.41,8.522,9.05,-4.21,-0.25,0.82,0.141,,,
1990-02-02,0.95,1.734M,2.0013,13.8364,330.92,16.93,8.51,9.15,1.22,-1.74,-0.07,0.142,3.28,,5.2
1990-02-09,0.91,1.753M,2.0175,13.9261,333.62,16.86,8.331,9.22,1.06,0.75,-0.48,0.142,,,
1990-02-16,0.9,1.746M,2.0116,13.8846,332.72,16.08,8.46,9.21,-0.32,0.02,0.66,0.142,,,
1990-02-23,0.92,1.70M,1.9595,13.5233,324.15,14.55,8.557,9.27,-2.48,0.61,1.24,0.142,,,
1990-03-02,0.94,1.759M,2.0535,14.1599,335.54,14.81,8.548,9.26,3.16,-1.5,-0.7,0.161,3.4,,5.3
1990-03-09,0.89,1.771M,2.0697,14.2801,337.93,12.84,8.624,9.35,0.77,1.04,-1.29,0.161,,,
1990-03-16,0.82,1.793M,2.0973,14.4903,341.91,12.02,8.54,9.4,0.83,0.11,-0.9,0.161,,,
1990-03-23,0.78,1.772M,2.071,14.2982,337.22,12.28,8.478,9.39,-1.41,0.92,-0.56,0.161,,,
1990-03-30,0.83,1.785M,2.0691,14.3403,339.94,11.87,8.626,9.37,0.51,-0.42,0.27,0.161,,,
1990-04-06,0.84,1.792M,1.9976,14.4811,340.08,11.07,8.521,9.38,-0.25,-0.7,-1.24,0.171,3.34,,5.2
1990-04-13,0.8,1.822M,2.0228,14.6516,344.34,10.9,8.576,9.38,1.05,-0.97,-1.06,0.171,,,
1990-04-20,0.84,1.848M,1.97,14.2884,335.12,10.72,8.943,9.45,-2.69,1,0.25,0.171,,,
1990-04-27,0.86,1.835M,1.9353,14.0432,329.11,10.96,9.021,9.59,-1.92,0.48,-0.01,0.171,,,
1990-05-04,0.92,1.944M,1.9994,14.6449,338.39,10.84,8.816,9.62,2.48,-1.25,-0.97,0.169,3.38,,4.7
1990-05-11,0.95,2.039M,2.08,15.2176,352,12.55,8.641,9.54,3.46,-2.24,-0.14,0.169,,,
1990-05-18,0.97,2.053M,2.098,15.4203,354.64,11.65,8.702,9.39,0.86,0.47,-0.96,0.169,,,
1990-05-25,0.95,2.053M,2.1039,15.4737,354.58,12.35,8.668,9.39,0.26,1.08,-1.6,0.169,,,
1990-06-01,0.92,2.102M,2.1324,15.5518,363.16,11.77,8.419,9.38,2,-0.9,-0.45,0.156,3.3,,4.4
1990-06-08,0.94,2.076M,2.1105,15.3815,358.71,11.71,8.443,9.27,-1,0.71,1.01,0.156,,,
1990-06-15,0.98,2.103M,2.1427,15.6477,362.91,12.43,8.424,9.21,0.86,0.16,-1.73,0.156,,,
1990-06-22,0.98,2.06M,2.0989,15.3629,355.43,12.64,8.48,9.26,-1.94,0.59,-0.38,0.156,,,
1990-06-29,0.98,2.076M,2.0995,15.2943,358.02,13.14,8.4,9.27,0.46,0.01,-0.97,0.156,,,
1990-07-06,0.97,2.079M,2.069,15.3938,358.42,13.62,8.505,9.23,-0.05,-0.48,-0.73,0.169,3.24,,4.7
